State,County,FIPS,Date,Diff 
CT,Fairfield County,9001,20120403,200
CT,Fairfield County,9001,20120410,200
CT,Fairfield County,9001,20150519,200
CT,Fairfield County,9001,20241112,206
CT,Hartford County,9003,20010522,200
CT,Hartford County,9003,20130507,200
CT,Hartford County,9003,20150519,200
CT,Litchfield County,9005,20010522,200
CT,Litchfield County,9005,20120403,200
CT,Litchfield County,9005,20150519,200
CT,Middlesex County,9007,20120327,200
CT,Middlesex County,9007,20130507,200
CT,Middlesex County,9007,20150519,200
CT,Middlesex County,9007,20241119,200
CT,New Haven County,9009,20120327,200
CT,New Haven County,9009,20130507,200
CT,New Haven County,9009,20150519,200
CT,New Haven County,9009,20241119,200
CT,New London County,9011,20120320,200
CT,New London County,9011,20120327,200
CT,New London County,9011,20130507,200
CT,New London County,9011,20150519,200
CT,Tolland County,9013,20010522,200
CT,Tolland County,9013,20130507,200
CT,Tolland County,9013,20150519,200
CT,Windham County,9015,20010522,200
CT,Windham County,9015,20120327,200
CT,Windham County,9015,20130507,200
CT,Windham County,9015,20150519,200
DC,District of Columbia,11001,20010515,200
DC,District of Columbia,11001,20050920,200
DC,District of Columbia,11001,20060822,200
DC,District of Columbia,11001,20060829,200
DC,District of Columbia,11001,20100706,200
DC,District of Columbia,11001,20120703,200
DC,District of Columbia,11001,20120710,200
DC,District of Columbia,11001,20240625,200
DE,Kent County,10001,20010515,200
DE,Kent County,10001,20010522,200
DE,Kent County,10001,20011030,200
DE,Kent County,10001,20011106,200
DE,Kent County,10001,20050920,200
DE,Kent County,10001,20120410,200
DE,Kent County,10001,20120417,200
DE,New Castle County,10003,20010515,200
DE,New Castle County,10003,20010522,200
DE,New Castle County,10003,20050920,200
DE,Sussex County,10005,20010515,200
DE,Sussex County,10005,20010522,200
DE,Sussex County,10005,20011030,200
DE,Sussex County,10005,20011106,200
DE,Sussex County,10005,20050913,200
DE,Sussex County,10005,20050920,200
DE,Sussex County,10005,20060328,200
MA,Barnstable County,25001,20150519,200
MA,Barnstable County,25001,20150526,200
MA,Barnstable County,25001,20220802,200
MA,Berkshire County,25003,20010522,200
MA,Berkshire County,25003,20150519,200
MA,Berkshire County,25003,20200623,200
MA,Bristol County,25005,20150519,200
MA,Bristol County,25005,20150526,200
MA,Bristol County,25005,20220809,200
MA,Dukes County,25007,20150519,200
MA,Dukes County,25007,20150526,200
MA,Essex County,25009,20010522,200
MA,Essex County,25009,20150519,200
MA,Franklin County,25011,20010522,200
MA,Hampden County,25013,20010522,200
MA,Hampden County,25013,20011106,200
MA,Hampden County,25013,20130507,200
MA,Hampden County,25013,20130514,200
MA,Hampden County,25013,20150519,200
MA,Hampshire County,25015,20010522,200
MA,Hampshire County,25015,20011106,200
MA,Hampshire County,25015,20130507,200
MA,Hampshire County,25015,20130514,200
MA,Hampshire County,25015,20150519,200
MA,Middlesex County,25017,20010522,200
MA,Middlesex County,25017,20150519,200
MA,Nantucket County,25019,20120403,200
MA,Nantucket County,25019,20150519,200
MA,Nantucket County,25019,20150526,200
MA,Nantucket County,25019,20240102,200
MA,Norfolk County,25021,20010522,200
MA,Norfolk County,25021,20150519,200
MA,Norfolk County,25021,20220524,200
MA,Plymouth County,25023,20150519,200
MA,Plymouth County,25023,20150526,200
MA,Suffolk County,25025,20010522,200
MA,Suffolk County,25025,20120410,200
MA,Suffolk County,25025,20150519,200
MA,Suffolk County,25025,20220524,200
MA,Worcester County,25027,20010522,200
MA,Worcester County,25027,20150519,200
MD,Allegany County,24001,20010515,200
MD,Allegany County,24001,20010522,200
MD,Allegany County,24001,20020917,217
MD,Allegany County,24001,20050705,200
MD,Allegany County,24001,20090922,200
MD,Allegany County,24001,20090929,200
MD,Allegany County,24001,20230613,200
MD,Allegany County,24001,20240625,200
MD,Allegany County,24001,20240702,286
MD,Allegany County,24001,20240709,200
MD,Anne Arundel County,24003,20010515,200
MD,Anne Arundel County,24003,20010522,200
MD,Anne Arundel County,24003,20050920,200
MD,Anne Arundel County,24003,20060822,200
MD,Anne Arundel County,24003,20060829,200
MD,Anne Arundel County,24003,20100706,217
MD,Baltimore City,24510,20010515,200
MD,Baltimore City,24510,20010522,200
MD,Baltimore City,24510,20011030,200
MD,Baltimore City,24510,20011106,200
MD,Baltimore City,24510,20020219,200
MD,Baltimore City,24510,20050920,200
MD,Baltimore City,24510,20060822,200
MD,Baltimore City,24510,20060829,200
MD,Baltimore City,24510,20100706,200
MD,Baltimore City,24510,20191001,200
MD,Baltimore City,24510,20230411,200
MD,Baltimore City,24510,20231114,200
MD,Baltimore City,24510,20231121,200
MD,Baltimore County,24005,20010515,200
MD,Baltimore County,24005,20010522,200
MD,Baltimore County,24005,20050920,200
MD,Baltimore County,24005,20100706,200
MD,Baltimore County,24005,20191001,200
MD,Calvert County,24009,20010515,200
MD,Calvert County,24009,20050920,200
MD,Calvert County,24009,20060328,200
MD,Calvert County,24009,20100629,200
MD,Calvert County,24009,20100706,297
MD,Calvert County,24009,20240625,200
MD,Calvert County,24009,20241105,200
