,State,County,lat,lon,# Droughts VWC (2 CAT/2wk)(Tuesdays),# Droughts VWC (2 CAT/4wk)(Tuesdays),# Droughts VWC (-2 Z-SCORE/2wk)(Tuesdays),# Droughts VWC (-2 Z-SCORE/4wk)(Tuesdays),Highest Month VWC (2 CAT/2wk)(Tuesdays),Highest Month VWC (2 CAT/4wk)(Tuesdays),Highest Month VWC (-2 Z-SCORE/2wk)(Tuesdays),Highest Month VWC (-2 Z-SCORE/4wk)(Tuesdays)
0,CT,Fairfield ,41.228103,-73.366757,26,20,54,45,['April'],['April'],['June'],['June']
1,CT,Hartford ,41.806053,-72.732916,16,16,26,28,['April'],"['March', 'September', 'April']",['June'],['June']
2,CT,Litchfield ,41.791897,-73.235428,28,21,48,48,['April'],['April'],['May'],['June']
3,CT,Middlesex ,41.434525,-72.524227,34,25,53,41,['April'],['September'],['June'],['June']
4,CT,New Haven ,41.349717,-72.900204,24,18,41,32,['April'],['April'],['June'],['June']
5,CT,New London ,41.47863,-72.103452,32,23,49,34,['April'],['April'],['June'],"['April', 'June']"
6,CT,Tolland ,41.858076,-72.340977,27,22,49,43,['April'],['April'],['May'],['July']
7,CT,Windham ,41.824999,-71.990702,19,15,36,32,['April'],['April'],['May'],['June']
8,DE,Kent,39.097088,-75.502982,5,1,24,23,['March'],['March'],['April'],['April']
9,DE,New Castle,39.575915,-75.644132,15,17,29,35,"['April', 'September']",['April'],['May'],['April']
10,DE,Sussex,38.677511,-75.335495,6,1,30,30,['March'],['March'],['April'],['April']
11,DC,District of Columbia ,38.904149,-77.017094,15,9,38,38,['April'],['March'],['April'],"['May', 'August']"
12,ME,Androscoggin,44.167681,-70.207435,19,18,46,33,['April'],['September'],"['May', 'April', 'June']","['June', 'April']"
13,ME,Aroostook,46.727057,-68.64941,41,36,39,37,"['April', 'September']",['September'],['June'],"['April', 'June']"
14,ME,Cumberland,43.808348,-70.330375,18,15,47,32,['April'],"['September', 'March']",['May'],"['May', 'June']"
15,ME,Franklin,44.973012,-70.444727,30,29,37,41,['September'],['April'],"['May', 'June']",['June']
16,ME,Hancock,44.564906,-68.370703,17,15,28,26,"['September', 'April']",['September'],"['May', 'September']","['June', 'May', 'July']"
17,ME,Kennebec,44.417012,-69.765764,20,21,33,33,['September'],['September'],"['September', 'July']",['July']
18,ME,Knox,44.188073,-69.217193,21,17,48,41,"['March', 'April', 'September']",['September'],['September'],['June']
19,ME,Lincoln,43.994265,-69.514029,16,18,30,27,['April'],['September'],"['May', 'September', 'June']",['June']
20,ME,Oxford,44.494585,-70.734688,24,21,49,42,['April'],['April'],['September'],['April']
21,ME,Penobscot,45.390602,-68.657487,23,24,26,27,['September'],['September'],"['May', 'July']",['July']
22,ME,Piscataquis,45.917678,-69.104548,35,30,42,36,"['July', 'September']",['September'],"['May', 'June', 'July']",['July']
23,ME,Sagadahoc,43.916694,-69.843994,17,17,30,20,['April'],['September'],['September'],['August']
24,ME,Somerset,45.507482,-69.97604,30,30,48,43,['April'],"['April', 'September']",['May'],['April']
25,ME,Waldo,44.505361,-69.139678,21,17,50,39,"['September', 'March']",['September'],"['May', 'September']",['April']
26,ME,Washington,44.967009,-67.609354,12,12,17,13,['April'],['April'],['July'],"['June', 'July']"
27,ME,York,43.427239,-70.670402,16,14,32,32,['April'],"['March', 'April']",['May'],['June']
28,MD,Allegany,39.612309,-78.703108,22,18,43,42,"['March', 'April']",['April'],['May'],['March']
29,MD,Anne Arundel,38.993374,-76.560511,7,3,24,18,['March'],['March'],['April'],"['March', 'April', 'September']"
30,MD,Baltimore,39.443167,-76.616569,19,13,37,27,['April'],['March'],['April'],['April']
31,MD,Calvert,38.577824,-76.590198,6,2,35,30,['March'],['March'],['May'],['April']
32,MD,Caroline,38.871531,-75.831631,7,3,29,27,['March'],['March'],['September'],"['April', 'September']"
33,MD,Carroll,39.563189,-77.015512,20,16,31,30,['April'],['March'],['April'],['April']
34,MD,Cecil,39.580285,-75.909392,21,20,40,30,['April'],['September'],"['April', 'May']",['April']
35,MD,Charles,38.472853,-77.015427,4,1,15,12,['March'],['March'],['April'],"['September', 'April']"
36,MD,Dorchester,38.429196,-76.047433,5,5,26,34,['March'],['March'],['April'],"['April', 'May']"
37,MD,Frederick,39.470427,-77.397627,21,18,24,30,['April'],['March'],['April'],['May']
38,MD,Garrett,39.529871,-79.269416,23,22,45,37,['April'],['April'],['May'],"['July', 'April']"
39,MD,Harford,39.537429,-76.299789,17,14,26,35,['April'],['March'],['April'],['July']
40,MD,Howard,39.252264,-76.924406,16,14,38,33,['April'],['March'],['April'],"['April', 'May']"
41,MD,Kent,39.239177,-76.1242,13,13,25,27,['April'],['March'],['April'],"['April', 'August']"
42,MD,Montgomery,39.137382,-77.203063,19,15,33,33,['April'],['March'],['April'],['May']
43,MD,Prince George's,38.82588,-76.847272,7,0,30,20,['March'],[],['April'],['September']
44,MD,Queen Anne's,39.040693,-76.082405,12,7,32,27,"['April', 'March']",['April'],['September'],['May']
45,MD,St. Mary's,38.222666,-76.534271,12,6,42,36,['April'],['March'],['April'],['April']
46,MD,Somerset,38.07445,-75.853323,6,4,31,37,['March'],['March'],['April'],['April']
47,MD,Talbot,38.746127,-76.16355,11,11,24,27,['April'],['March'],['April'],['April']
48,MD,Washington,39.603621,-77.814671,26,24,40,34,['April'],['April'],['May'],['April']
49,MD,Wicomico,38.367389,-75.632206,8,2,45,38,['March'],['March'],['April'],['September']
50,MD,Worcester,38.222133,-75.309932,13,13,31,38,['April'],['March'],['September'],['August']
51,MD,Baltimore ,39.300214,-76.610516,16,12,36,29,['April'],['March'],['April'],['April']
52,MA,Barnstable,41.680524,-70.248648,21,13,39,21,['April'],"['March', 'September']",['May'],"['April', 'September']"
53,MA,Berkshire,42.375314,-73.213948,32,29,65,52,['April'],['April'],"['May', 'April']",['April']
54,MA,Bristol,41.748576,-71.087062,25,15,42,27,['April'],"['March', 'September']",['April'],['April']
55,MA,Dukes,41.380939,-70.701536,24,16,38,30,['April'],['September'],['May'],['April']
56,MA,Essex,42.642711,-70.865107,19,15,44,33,['April'],['March'],['April'],"['April', 'September']"
57,MA,Franklin,42.583791,-72.591655,29,27,55,42,['April'],['April'],['May'],['June']
58,MA,Hampden,42.136198,-72.635648,30,27,52,47,['April'],['March'],['May'],['June']
59,MA,Hampshire,42.339459,-72.663694,27,26,45,39,['April'],['September'],['May'],['June']
60,MA,Middlesex,42.479477,-71.396507,24,22,45,42,['April'],['September'],"['May', 'April']",['April']
61,MA,Nantucket,41.26842,-70.036824,5,3,6,4,['April'],"['May', 'April', 'July']",['April'],['September']
62,MA,Norfolk,42.169703,-71.179875,24,20,45,32,['April'],['September'],['April'],['April']
63,MA,Plymouth,41.987196,-70.741942,25,17,46,30,['April'],['September'],['May'],['September']
64,MA,Suffolk,42.326256,-71.084657,25,22,57,44,['April'],['March'],['April'],['September']
65,MA,Worcester,42.311693,-71.940282,26,22,50,48,['April'],['March'],['April'],['June']
66,NH,Belknap,43.519109,-71.425366,24,21,50,43,['April'],['September'],['May'],['June']
67,NH,Carroll,43.867567,-71.201665,23,19,51,37,['April'],['September'],['April'],['April']
68,NH,Cheshire,42.925455,-72.248217,26,22,62,43,['April'],['March'],"['May', 'July']","['May', 'July']"
69,NH,Coos,44.652419,-71.289383,30,24,51,48,['April'],['April'],['May'],"['April', 'September']"
