,State,County,lat,lon,# Droughts Precip (2 CAT/2wk)(4 wk intervals),# Droughts Precip (2 CAT/4wk)(4 wk intervals),# Droughts Precip (-2 Z-SCORE/2wk)(4 wk intervals),# Droughts Precip (-2 Z-SCORE/4wk)(4 wk intervals),Highest Month Precip (2 CAT/2wk)(4 wk intervals),Highest Month Precip (2 CAT/4wk)(4 wk intervals),Highest Month Precip (-2 Z-SCORE/2wk)(4 wk intervals),Highest Month Precip (-2 Z-SCORE/4wk)(4 wk intervals)
0,CT,Fairfield ,41.228103,-73.366757,24,24,12,24,['June'],['June'],['July'],['June']
1,CT,Hartford ,41.806053,-72.732916,25,25,15,25,['June'],['June'],"['July', 'March', 'May']",['June']
2,CT,Litchfield ,41.791897,-73.235428,24,24,17,29,['July'],['July'],['May'],['April']
3,CT,Middlesex ,41.434525,-72.524227,27,27,13,22,['July'],['July'],['July'],['May']
4,CT,New Haven ,41.349717,-72.900204,29,29,13,24,['June'],['June'],['July'],['June']
5,CT,New London ,41.47863,-72.103452,29,29,10,19,['July'],['July'],['July'],"['June', 'July']"
6,CT,Tolland ,41.858076,-72.340977,26,26,16,20,"['June', 'September']","['June', 'September']",['May'],['June']
7,CT,Windham ,41.824999,-71.990702,23,23,13,17,['August'],['August'],['May'],['August']
8,DE,Kent,39.097088,-75.502982,21,21,13,17,['May'],['May'],"['May', 'March']",['April']
9,DE,New Castle,39.575915,-75.644132,23,23,14,23,['June'],['June'],['May'],['May']
10,DE,Sussex,38.677511,-75.335495,23,23,14,24,['May'],['May'],['May'],['April']
11,DC,District of Columbia ,38.904149,-77.017094,19,19,14,23,['May'],['May'],"['April', 'September']","['April', 'June']"
12,ME,Androscoggin,44.167681,-70.207435,27,27,12,25,['September'],['September'],"['March', 'May', 'September']","['May', 'September']"
13,ME,Aroostook,46.727057,-68.64941,23,23,18,27,['September'],['September'],['June'],['June']
14,ME,Cumberland,43.808348,-70.330375,26,26,14,20,"['May', 'September']","['May', 'September']",['September'],['September']
15,ME,Franklin,44.973012,-70.444727,26,26,11,25,"['March', 'April', 'June']","['March', 'April', 'June']",['March'],['May']
16,ME,Hancock,44.564906,-68.370703,22,22,12,20,['July'],['July'],['March'],['May']
17,ME,Kennebec,44.417012,-69.765764,21,21,9,27,"['May', 'September']","['May', 'September']",['March'],['September']
18,ME,Knox,44.188073,-69.217193,20,20,11,19,['May'],['May'],['March'],"['June', 'May', 'September']"
19,ME,Lincoln,43.994265,-69.514029,23,23,11,18,"['August', 'May', 'September']","['August', 'May', 'September']","['August', 'March', 'May', 'April']","['August', 'September']"
20,ME,Oxford,44.494585,-70.734688,29,29,10,26,['September'],['September'],['March'],['September']
21,ME,Penobscot,45.390602,-68.657487,21,21,12,22,"['August', 'September']","['August', 'September']",['March'],"['August', 'June']"
22,ME,Piscataquis,45.917678,-69.104548,30,30,12,24,"['July', 'May', 'September']","['July', 'May', 'September']","['September', 'May']","['August', 'May', 'September', 'April']"
23,ME,Sagadahoc,43.916694,-69.843994,13,13,7,15,['May'],['May'],"['March', 'May']",['May']
24,ME,Somerset,45.507482,-69.97604,26,26,11,20,['April'],['April'],['May'],['April']
25,ME,Waldo,44.505361,-69.139678,24,24,8,19,['September'],['September'],['March'],"['April', 'September']"
26,ME,Washington,44.967009,-67.609354,11,11,5,9,"['July', 'June', 'September', 'May']","['July', 'June', 'September', 'May']","['July', 'May', 'March', 'April', 'August']","['July', 'May', 'August']"
27,ME,York,43.427239,-70.670402,28,28,16,26,['August'],['August'],['August'],['September']
28,MD,Allegany,39.612309,-78.703108,32,32,11,26,['September'],['September'],['March'],"['August', 'March']"
29,MD,Anne Arundel,38.993374,-76.560511,13,13,5,11,"['August', 'May']","['August', 'May']",['May'],['June']
30,MD,Baltimore,39.443167,-76.616569,24,24,11,19,['September'],['September'],['May'],['August']
31,MD,Calvert,38.577824,-76.590198,24,24,11,21,['May'],['May'],['May'],['April']
32,MD,Caroline,38.871531,-75.831631,25,25,14,26,"['May', 'June']","['May', 'June']",['May'],['April']
