,County
0,fairfield county
1,hartford county
2,litchfield county
3,middlesex county
4,new haven county
5,new london county
6,tolland county
7,windham county
8,district of columbia
9,kent county
10,new castle county
11,sussex county
12,barnstable county
13,berkshire county
14,bristol county
15,dukes county
16,essex county
17,hampden county
18,hampshire county
19,middlesex county
20,nantucket county
21,norfolk county
22,plymouth county
23,suffolk county
24,worcester county
25,allegany county
26,anne arundel county
27,baltimore city
28,baltimore county
29,calvert county
30,caroline county
31,carroll county
32,cecil county
33,charles county
34,dorchester county
35,frederick county
36,garrett county
37,harford county
38,howard county
39,kent county
40,montgomery county
41,prince george's county
42,queen anne's county
43,saint mary's county
44,somerset county
45,talbot county
46,washington county
47,wicomico county
48,worcester county
49,androscoggin county
50,aroostook county
51,cumberland county
52,kennebec county
53,lincoln county
54,sagadahoc county
55,york county
56,belknap county
57,carroll county
58,cheshire county
59,coos county
60,grafton county
61,hillsborough county
62,merrimack county
63,rockingham county
64,strafford county
65,sullivan county
66,atlantic county
67,bergen county
68,burlington county
69,camden county
70,cape may county
71,cumberland county
72,essex county
73,gloucester county
74,hudson county
75,hunterdon county
76,mercer county
77,middlesex county
78,monmouth county
79,morris county
80,ocean county
81,passaic county
82,salem county
83,somerset county
84,union county
85,warren county
86,allegany county
87,bronx county
88,cattaraugus county
89,cayuga county
90,chautauqua county
91,chemung county
92,clinton county
93,dutchess county
94,erie county
95,franklin county
96,genesee county
97,jefferson county
98,kings county
99,lewis county
100,livingston county
101,monroe county
102,nassau county
103,new york county
104,niagara county
105,onondaga county
106,ontario county
107,orleans county
108,oswego county
109,putnam county
110,queens county
111,richmond county
112,rockland county
113,saint lawrence county
114,schuyler county
115,seneca county
116,steuben county
117,suffolk county
118,wayne county
119,wyoming county
120,yates county
121,adams county
122,allegheny county
123,armstrong county
124,beaver county
125,bedford county
126,blair county
127,bucks county
128,butler county
129,cambria county
130,cameron county
131,carbon county
132,centre county
133,clarion county
134,clinton county
135,crawford county
136,cumberland county
137,delaware county
138,elk county
139,erie county
140,fayette county
141,forest county
142,franklin county
143,fulton county
144,greene county
145,huntingdon county
146,indiana county
147,jefferson county
148,lawrence county
149,lehigh county
150,lycoming county
151,mckean county
152,mercer county
153,mifflin county
154,monroe county
155,montgomery county
156,montour county
157,northampton county
158,philadelphia county
159,potter county
160,somerset county
161,tioga county
162,venango county
163,warren county
164,washington county
165,westmoreland county
166,bristol county
167,kent county
168,newport county
169,providence county
170,washington county
298,bennington county
299,grand isle county
300,lamoille county
301,windham county
302,barbour county
303,berkeley county
304,boone county
305,braxton county
306,brooke county
307,calhoun county
308,clay county
309,fayette county
310,gilmer county
311,grant county
312,greenbrier county
313,hampshire county
314,hancock county
315,hardy county
316,harrison county
317,jefferson county
318,lewis county
319,logan county
320,marion county
321,marshall county
322,mercer county
323,mineral county
324,mingo county
325,monongalia county
326,monroe county
327,morgan county
328,nicholas county
329,ohio county
330,pendleton county
331,pleasants county
332,pocahontas county
333,preston county
334,putnam county
335,raleigh county
336,randolph county
337,roane county
338,summers county
339,taylor county
340,tucker county
341,tyler county
342,upshur county
343,wayne county
344,webster county
345,wirt county
346,wood county
347,wyoming county
