state,county,lat,lon,,,,,,,,,,
CT,Fairfield ,+41.228103°,–73.366757°,,,,,,,,,,
CT,Hartford ,+41.806053°,–72.732916°,,,,,,,,,,
CT,Litchfield ,+41.791897°,–73.235428°,,,,,,,,,,
CT,Middlesex ,+41.434525°,–72.524227°,,,,,,,,,,
CT,New Haven ,+41.349717°,–72.900204°,,,,,,,,,,
CT,New London ,+41.478630°,–72.103452°,,,,,,,,,,
CT,Tolland ,+41.858076°,–72.340977°,,,,,,,,,,
CT,Windham ,+41.824999°,–71.990702°,,,,,,,,,,
DE,Kent,+39.097088°,–75.502982°,,,,,,,,,,
DE,New Castle,+39.575915°,–75.644132°,,,,,,,,,,
DE,Sussex,+38.677511°,–75.335495°,,,,,,,,,,
DC,District of Columbia ,+38.904149°,–77.017094°,,,,,,,,,,
ME,Androscoggin,+44.167681°,–70.207435°,,,,,,,,,,
ME,Aroostook,+46.727057°,–68.649410°,,,,,,,,,,
ME,Cumberland,+43.808348°,–70.330375°,,,,,,,,,,
ME,Franklin,+44.973012°,–70.444727°,,,,,,,,,,
ME,Hancock,+44.564906°,–68.370703°,,,,,,,,,,
ME,Kennebec,+44.417012°,–69.765764°,,,,,,,,,,
ME,Knox,+44.042045°,–69.038515°,,,,,,,,,,
ME,Lincoln,+43.994265°,–69.514029°,,,,,,,,,,
ME,Oxford,+44.494585°,–70.734688°,,,,,,,,,,
ME,Penobscot,+45.390602°,–68.657487°,,,,,,,,,,
ME,Piscataquis,+45.917678°,–69.104548°,,,,,,,,,,
ME,Sagadahoc,+43.916694°,–69.843994°,,,,,,,,,,
ME,Somerset,+45.507482°,–69.976040°,,,,,,,,,,
ME,Waldo,+44.505361°,–69.139678°,,,,,,,,,,
ME,Washington,+44.967009°,–67.609354°,,,,,,,,,,
ME,York,+43.427239°,–70.670402°,,,,,,,,,,
MD,Allegany,+39.612309°,–78.703108°,,,,,,,,,,
MD,Anne Arundel,+38.993374°,–76.560511°,,,,,,,,,,
MD,Baltimore,+39.443167°,–76.616569°,,,,,,,,,,
MD,Calvert,+38.521358°,–76.525864°,,,,,,,,,,
MD,Caroline,+38.871531°,–75.831631°,,,,,,,,,,
MD,Carroll,+39.563189°,–77.015512°,,,,,,,,,,
MD,Cecil,+39.562352°,–75.941584°,,,,,,,,,,
MD,Charles,+38.472853°,–77.015427°,,,,,,,,,,
MD,Dorchester,+38.429196°,–76.047433°,,,,,,,,,,
