,State,County,lat,lon,# Droughts PET (2 CAT/2wk)(4 wk intervals),# Droughts PET (2 CAT/4wk)(4 wk intervals),# Droughts VWC (2 CAT/2wk)(Tuesdays),# Droughts VWC (2 CAT/4wk)(Tuesdays),# Droughts Precip (2 CAT/2wk)(4 wk intervals),# Droughts Precip (2 CAT/4wk)(4 wk intervals)
0,CT,Fairfield ,41.228103,-73.366757,18,18,10,9,19,19
1,CT,Hartford ,41.806053,-72.732916,22,22,12,14,10,10
2,CT,Litchfield ,41.791897,-73.235428,15,15,10,6,19,19
3,CT,Middlesex ,41.434525,-72.524227,20,20,8,11,16,16
4,CT,New Haven ,41.349717,-72.900204,20,20,7,7,20,20
5,CT,New London ,41.47863,-72.103452,17,17,8,9,21,21
6,CT,Tolland ,41.858076,-72.340977,19,19,12,13,17,17
7,CT,Windham ,41.824999,-71.990702,18,18,7,9,18,18
8,DE,Kent,39.097088,-75.502982,13,13,1,1,19,19
9,DE,New Castle,39.575915,-75.644132,14,14,17,13,16,16
10,DE,Sussex,38.677511,-75.335495,15,15,3,1,12,12
11,DC,District of Columbia ,38.904149,-77.017094,17,17,7,9,14,14
12,ME,Androscoggin,44.167681,-70.207435,21,21,7,8,20,20
13,ME,Aroostook,46.727057,-68.64941,11,11,20,15,11,11
14,ME,Cumberland,43.808348,-70.330375,21,21,11,11,20,20
15,ME,Franklin,44.973012,-70.444727,16,16,11,14,10,10
16,ME,Hancock,44.564906,-68.370703,33,33,16,6,13,13
17,ME,Kennebec,44.417012,-69.765764,17,17,9,9,15,15
18,ME,Knox,44.188073,-69.217193,18,18,8,12,17,17
19,ME,Lincoln,43.994265,-69.514029,16,16,10,11,19,19
20,ME,Oxford,44.494585,-70.734688,16,16,10,11,14,14
21,ME,Penobscot,45.390602,-68.657487,14,14,17,15,16,16
22,ME,Piscataquis,45.917678,-69.104548,12,12,14,11,13,13
23,ME,Sagadahoc,43.916694,-69.843994,18,18,11,11,14,14
24,ME,Somerset,45.507482,-69.97604,14,14,16,18,20,20
25,ME,Waldo,44.505361,-69.139678,16,16,6,11,16,16
26,ME,Washington,44.967009,-67.609354,7,7,8,6,6,6
27,ME,York,43.427239,-70.670402,18,18,12,14,13,13
28,MD,Allegany,39.612309,-78.703108,16,16,3,4,16,16
29,MD,Anne Arundel,38.993374,-76.560511,14,14,1,3,12,12
30,MD,Baltimore,39.443167,-76.616569,15,15,7,5,15,15
31,MD,Calvert,38.577824,-76.590198,17,17,4,1,12,12
32,MD,Caroline,38.871531,-75.831631,17,17,8,4,14,14
33,MD,Carroll,39.563189,-77.015512,14,14,8,8,13,13
34,MD,Cecil,39.580285,-75.909392,13,13,8,7,22,22
35,MD,Charles,38.472853,-77.015427,17,17,5,4,15,15
36,MD,Dorchester,38.429196,-76.047433,17,17,10,8,16,16
37,MD,Frederick,39.470427,-77.397627,15,15,13,10,24,24
38,MD,Garrett,39.529871,-79.269416,18,18,5,7,12,12
39,MD,Harford,39.537429,-76.299789,13,13,12,4,17,17
40,MD,Howard,39.252264,-76.924406,17,17,5,4,13,13
41,MD,Kent,39.239177,-76.1242,14,14,11,6,20,20
42,MD,Montgomery,39.137382,-77.203063,14,14,7,6,17,17
43,MD,Prince George's,38.82588,-76.847272,18,18,1,1,15,15
44,MD,Queen Anne's,39.040693,-76.082405,14,14,7,5,15,15
45,MD,St. Mary's,38.222666,-76.534271,16,16,3,6,10,10
46,MD,Somerset,38.07445,-75.853323,20,20,6,6,11,11
47,MD,Talbot,38.746127,-76.16355,16,16,9,9,15,15
48,MD,Washington,39.603621,-77.814671,15,15,6,10,18,18
49,MD,Wicomico,38.367389,-75.632206,19,19,1,1,15,15
50,MD,Worcester,38.222133,-75.309932,18,18,12,5,16,16
51,MD,Baltimore ,39.300214,-76.610516,14,14,4,4,17,17
52,MA,Barnstable,41.680524,-70.248648,22,22,9,9,15,15
53,MA,Berkshire,42.375314,-73.213948,16,16,5,10,15,15
54,MA,Bristol,41.748576,-71.087062,17,17,8,14,17,17
55,MA,Dukes,41.380939,-70.701536,11,11,6,13,16,16
56,MA,Essex,42.642711,-70.865107,16,16,3,7,15,15
57,MA,Franklin,42.583791,-72.591655,13,13,4,8,14,14
58,MA,Hampden,42.136198,-72.635648,17,17,7,11,10,10
59,MA,Hampshire,42.339459,-72.663694,16,16,9,7,12,12
60,MA,Middlesex,42.479477,-71.396507,19,19,7,11,20,20
61,MA,Nantucket,41.26842,-70.036824,1,1,0,1,2,2
62,MA,Norfolk,42.169703,-71.179875,13,13,9,12,17,17
63,MA,Plymouth,41.987196,-70.741942,17,17,9,8,12,12
64,MA,Suffolk,42.326256,-71.084657,16,16,5,7,15,15
65,MA,Worcester,42.311693,-71.940282,18,18,9,9,12,12
66,NH,Belknap,43.519109,-71.425366,16,16,6,11,20,20
67,NH,Carroll,43.867567,-71.201665,21,21,7,8,14,14
68,NH,Cheshire,42.925455,-72.248217,15,15,6,12,15,15
69,NH,Coos,44.652419,-71.289383,18,18,8,13,16,16
70,NH,Grafton,43.926488,-71.842264,19,19,20,12,16,16
71,NH,Hillsborough,42.911643,-71.723101,20,20,9,10,16,16
72,NH,Merrimack,43.299485,-71.68013,21,21,10,6,20,20
73,NH,Rockingham,42.98936,-71.099437,18,18,11,11,10,10
74,NH,Strafford,43.293177,-71.035927,15,15,10,13,17,17
75,NH,Sullivan,43.361188,-72.222084,20,20,15,14,12,12
76,NJ,Atlantic,39.469354,-74.633758,11,11,3,0,16,16
77,NJ,Bergen,40.95909,-74.074522,14,14,4,5,16,16
78,NJ,Burlington,39.875786,-74.663006,15,15,7,6,21,21
79,NJ,Camden,39.802352,-74.961251,15,15,4,2,21,21
80,NJ,Cape May,39.086143,-74.847716,13,13,1,2,16,16
81,NJ,Cumberland,39.328387,-75.121644,11,11,2,1,15,15
82,NJ,Essex,40.787217,-74.246136,15,15,6,9,18,18
83,NJ,Gloucester,39.721019,-75.143708,15,15,7,3,14,14
84,NJ,Hudson,40.731384,-74.078627,16,16,5,6,16,16
85,NJ,Hunterdon,40.565283,-74.91197,11,11,8,7,19,19
86,NJ,Mercer,40.282503,-74.703724,13,13,4,4,17,17
87,NJ,Middlesex,40.439593,-74.407585,11,11,7,5,12,12
88,NJ,Monmouth,40.287056,-74.152446,13,13,4,5,12,12
89,NJ,Morris,40.858581,-74.547427,15,15,8,5,16,16
90,NJ,Ocean,39.86585,-74.263027,13,13,3,1,19,19
91,NJ,Passaic,41.033763,-74.300308,12,12,5,6,15,15
92,NJ,Salem,39.573828,-75.357356,14,14,17,12,18,18
93,NJ,Somerset,40.565522,-74.61993,11,11,11,9,13,13
94,NJ,Sussex,41.137424,-74.691855,16,16,9,5,12,12
95,NJ,Union,40.659871,-74.308696,12,12,1,6,15,15
96,NJ,Warren,40.853524,-75.009542,14,14,11,8,15,15
97,NY,Albany,42.588271,-73.974014,18,18,10,14,14,14
98,NY,Allegany,42.247894,-78.026176,17,17,16,12,17,17
99,NY,Bronx ,40.848711,-73.852939,14,14,5,9,7,7
100,NY,Broome,42.161977,-75.830291,24,24,15,13,14,14
101,NY,Cattaraugus,42.244853,-78.681006,16,16,17,15,24,24
102,NY,Cayuga,43.008546,-76.574587,15,15,15,18,22,22
103,NY,Chautauqua,42.304216,-79.407595,16,16,18,9,19,19
104,NY,Chemung,42.155281,-76.747179,18,18,11,11,14,14
105,NY,Chenango,42.489732,-75.604905,20,20,16,16,18,18
106,NY,Clinton,44.75271,-73.705648,18,18,13,11,21,21
107,NY,Columbia,42.247729,-73.626805,14,14,3,9,18,18
108,NY,Cortland,42.593824,-76.076265,17,17,12,14,16,16
109,NY,Delaware,42.193987,-74.966728,19,19,12,10,16,16
110,NY,Dutchess,41.755009,-73.739951,19,19,9,9,16,16
111,NY,Erie,42.752759,-78.778192,16,16,17,15,22,22
112,NY,Essex,44.108971,-73.777573,21,21,15,16,15,15
113,NY,Franklin,44.594374,-74.31067,15,15,19,17,14,14
114,NY,Fulton,43.115609,-74.423678,20,20,11,16,24,24
115,NY,Genesee,43.00091,-78.192778,16,16,14,10,16,16
116,NY,Greene,42.286951,-74.149495,20,20,6,11,12,12
117,NY,Hamilton,43.657879,-74.502456,17,17,13,12,18,18
118,NY,Herkimer,43.461635,-74.894694,17,17,19,16,22,22
119,NY,Jefferson,43.995371,-76.053522,13,13,14,15,15,15
120,NY,Kings ,40.635133,-73.950777,11,11,6,5,12,12
121,NY,Lewis,43.786397,-75.442617,16,16,3,11,12,12
122,NY,Livingston,42.727485,-77.76978,18,18,13,13,22,22
123,NY,Madison,42.910026,-75.663575,17,17,14,13,16,16
124,NY,Monroe,43.081408,-77.729899,16,16,15,12,17,17
125,NY,Montgomery,42.900891,-74.435358,20,20,11,12,17,17
126,NY,Nassau,40.729687,-73.589384,14,14,10,4,11,11
127,NY,New York ,40.776557,-73.970174,12,12,9,6,16,16
128,NY,Niagara,43.194518,-78.786643,15,15,19,8,18,18
129,NY,Oneida,43.242727,-75.434282,16,16,11,15,14,14
130,NY,Onondaga,43.00653,-76.196117,15,15,15,15,16,16
131,NY,Ontario,42.856695,-77.303277,16,16,14,13,24,24
132,NY,Orange,41.40241,-74.306252,10,10,13,13,18,18
133,NY,Orleans,43.255515,-78.23546,17,17,17,9,18,18
134,NY,Oswego,43.461443,-76.209258,15,15,16,20,15,15
135,NY,Otsego,42.629776,-75.028841,21,21,14,16,15,15
136,NY,Putnam,41.427904,-73.743882,15,15,5,5,16,16
137,NY,Queens ,40.658557,-73.837929,13,13,9,8,11,11
138,NY,Rensselaer,42.710421,-73.513845,21,21,12,13,17,17
139,NY,Richmond ,40.563855,-74.137063,15,15,6,2,12,12
140,NY,Rockland,41.154785,-74.024772,11,11,9,6,12,12
141,NY,St. Lawrence,44.488113,-75.074311,21,21,15,15,14,14
142,NY,Saratoga,43.106135,-73.855387,18,18,7,7,17,17
143,NY,Schenectady,42.817542,-74.043583,18,18,16,14,18,18
144,NY,Schoharie,42.591294,-74.438172,18,18,17,15,17,17
