,State,County,lat,lon,# Droughts PET (2 CAT/2wk)(2 wk intervals),# Droughts PET (2 CAT/2wk)(4 wk intervals),# Droughts PET (2 CAT/4wk)(2 wk intervals),# Droughts PET (2 CAT/4wk)(4 wk intervals),# Droughts PET (-2 Z-SCORE/2wk)(2 wk intervals),# Droughts PET (-2 Z-SCORE/2wk)(4 wk intervals),# Droughts PET (-2 Z-SCORE/4wk)(2 wk intervals),# Droughts PET (-2 Z-SCORE/4wk)(4 wk intervals),# Droughts VWC (2 CAT/2wk)(Tuesdays),# Droughts VWC (2 CAT/4wk)(Tuesdays),# Droughts VWC (-2 Z-SCORE/2wk)(Tuesdays),# Droughts VWC (-2 Z-SCORE/4wk)(Tuesdays),# Droughts Precip (2 CAT/2wk)(2 wk intervals),# Droughts Precip (2 CAT/2wk)(4 wk intervals),# Droughts Precip (2 CAT/4wk)(2 wk intervals),# Droughts Precip (2 CAT/4wk)(4 wk intervals),# Droughts Precip (-2 Z-SCORE/2wk)(2 wk intervals),# Droughts Precip (-2 Z-SCORE/2wk)(4 wk intervals),# Droughts Precip (-2 Z-SCORE/4wk)(2 wk intervals),# Droughts Precip (-2 Z-SCORE/4wk)(4 wk intervals),Highest Month PET (2 CAT/2wk)(2 wk intervals),Highest Month PET (2 CAT/2wk)(4 wk intervals),Highest Month PET (2 CAT/4wk)(2 wk intervals),Highest Month PET (2 CAT/4wk)(4 wk intervals),Highest Month PET (-2 Z-SCORE/2wk)(2 wk intervals),Highest Month PET (-2 Z-SCORE/2wk)(4 wk intervals),Highest Month PET (-2 Z-SCORE/4wk)(2 wk intervals),Highest Month PET (-2 Z-SCORE/4wk)(4 wk intervals),Highest Month VWC (2 CAT/2wk)(Tuesdays),Highest Month VWC (2 CAT/4wk)(Tuesdays),Highest Month VWC (-2 Z-SCORE/2wk)(Tuesdays),Highest Month VWC (-2 Z-SCORE/4wk)(Tuesdays),Highest Month Precip (2 CAT/2wk)(2 wk intervals),Highest Month Precip (2 CAT/2wk)(4 wk intervals),Highest Month Precip (2 CAT/4wk)(2 wk intervals),Highest Month Precip (2 CAT/4wk)(4 wk intervals),Highest Month Precip (-2 Z-SCORE/2wk)(2 wk intervals),Highest Month Precip (-2 Z-SCORE/2wk)(4 wk intervals),Highest Month Precip (-2 Z-SCORE/4wk)(2 wk intervals),Highest Month Precip (-2 Z-SCORE/4wk)(4 wk intervals)
0,CT,Fairfield ,41.228103,-73.366757,42,22,38,22,39,19,32,29,32,24,51,40,44,24,36,24,38,12,30,24,['July'],['July'],['August'],['July'],['July'],"['July', 'May']",['March'],['May'],"['September', 'April']",['September'],['June'],"['April', 'June', 'July']","['August', 'June']",['June'],"['June', 'May']",['June'],['August'],['July'],['June'],['June']
1,CT,Hartford ,41.806053,-72.732916,43,23,39,23,40,17,28,31,16,16,29,29,32,25,26,25,33,15,22,25,"['April', 'July']","['July', 'August']",['March'],"['July', 'August']",['July'],['July'],"['March', 'June']",['May'],['April'],"['March', 'April']",['May'],['June'],['June'],['June'],['May'],['June'],['May'],"['July', 'March', 'May']",['June'],['June']
2,CT,Litchfield ,41.791897,-73.235428,43,26,42,26,39,15,28,30,34,27,53,46,36,24,32,24,34,17,33,29,['July'],"['July', 'September', 'June']","['March', 'June']","['July', 'September', 'June']",['July'],"['July', 'May']",['June'],['May'],['April'],"['September', 'April']","['April', 'May']",['June'],['July'],['July'],['September'],['July'],['April'],['May'],['June'],['April']
3,CT,Middlesex ,41.434525,-72.524227,42,25,41,25,36,19,28,29,36,25,54,42,37,27,33,27,34,13,27,22,['July'],"['July', 'September', 'August', 'June']",['March'],"['July', 'September', 'August', 'June']",['April'],['July'],"['March', 'June']","['July', 'August']",['April'],['April'],['June'],['June'],"['June', 'May']",['July'],['May'],['July'],['May'],['July'],['May'],['May']
4,CT,New Haven ,41.349717,-72.900204,40,21,36,21,36,18,29,34,28,20,47,35,38,29,30,29,42,13,28,24,"['April', 'June', 'July']","['July', 'September']",['August'],"['July', 'September']",['June'],"['April', 'July', 'September', 'May']",['June'],['August'],['April'],['April'],['June'],['June'],['June'],['June'],['May'],['June'],['May'],['July'],"['June', 'July']",['June']
5,CT,New London ,41.47863,-72.103452,44,29,41,29,38,16,31,25,31,22,47,30,37,29,35,29,38,10,30,19,['July'],['July'],"['March', 'August']",['July'],"['April', 'July']","['July', 'May', 'September']","['March', 'September']","['March', 'September', 'July', 'August']",['April'],['April'],['April'],"['April', 'July', 'August']","['June', 'May']",['July'],"['June', 'May']",['July'],['May'],['July'],['June'],"['June', 'July']"
6,CT,Tolland ,41.858076,-72.340977,42,23,40,23,37,12,30,25,20,15,47,44,40,26,32,26,36,16,28,20,['July'],['June'],"['March', 'July']",['June'],['April'],['July'],"['March', 'September']","['March', 'May', 'July']",['April'],['March'],['May'],['July'],['May'],"['June', 'September']",['June'],"['June', 'September']","['June', 'August', 'May', 'April']",['May'],['July'],['June']
7,CT,Windham ,41.824999,-71.990702,42,21,40,21,39,16,27,29,25,19,35,30,34,23,29,23,30,13,24,17,"['April', 'July']",['July'],['March'],['July'],['April'],['July'],"['March', 'June', 'September']",['July'],['April'],['April'],['May'],"['April', 'June']",['April'],['August'],['July'],['August'],['April'],['May'],['April'],['August']
8,DE,Kent,39.097088,-75.502982,34,19,32,19,23,7,23,15,13,5,26,18,34,21,30,21,29,13,24,17,['April'],['July'],['August'],['July'],"['May', 'April']",['March'],['March'],"['March', 'August']",['March'],['March'],['April'],['April'],['April'],['May'],"['May', 'April']",['May'],['April'],"['May', 'March']",['May'],['April']
9,DE,New Castle,39.575915,-75.644132,39,20,36,20,31,11,33,22,20,22,32,35,33,23,31,23,32,14,28,23,"['April', 'July', 'August']",['September'],['August'],['September'],['May'],['March'],['March'],['August'],['April'],['April'],['May'],['May'],['May'],['June'],['April'],['June'],['May'],['May'],['April'],['May']
