year,season,column,equation
2014,fall,pet 4 rolling,y = 1.12x + -820875.79
2014,fall,pet 2 rolling,y = 0.59x + -430835.06
2014,fall,pet 1 rolling,y = 0.29x + -209717.53
2014,spring,pet 4 rolling,y = -0.73x + 537010.96
2014,spring,pet 2 rolling,y = -0.35x + 254049.80
2014,spring,pet 1 rolling,y = -0.18x + 130506.15
2014,summer,pet 4 rolling,y = -0.09x + 62837.31
2014,summer,pet 2 rolling,y = 0.05x + -36754.60
2014,summer,pet 1 rolling,y = 0.04x + -27878.75
2015,fall,pet 4 rolling,y = 0.96x + -708330.04
2015,fall,pet 2 rolling,y = 0.59x + -434814.75
2015,fall,pet 1 rolling,y = 0.31x + -230565.90
2015,spring,pet 4 rolling,y = -0.90x + 663625.37
2015,spring,pet 2 rolling,y = -0.44x + 322948.29
2015,spring,pet 1 rolling,y = -0.21x + 156779.04
2015,summer,pet 4 rolling,y = -0.06x + 42246.62
2015,summer,pet 2 rolling,y = 0.02x + -15833.22
2015,summer,pet 1 rolling,y = 0.02x + -12734.64
2016,fall,pet 4 rolling,y = 0.97x + -711105.00
2016,fall,pet 2 rolling,y = 0.50x + -367281.10
2016,fall,pet 1 rolling,y = 0.24x + -175464.94
2016,spring,pet 4 rolling,y = -0.72x + 528388.00
2016,spring,pet 2 rolling,y = -0.38x + 280597.33
2016,spring,pet 1 rolling,y = -0.18x + 131034.45
2016,summer,pet 4 rolling,y = -0.19x + 138277.25
2016,summer,pet 2 rolling,y = -0.06x + 40692.71
2016,summer,pet 1 rolling,y = -0.01x + 7680.27
2017,fall,pet 4 rolling,y = 0.80x + -591124.76
2017,fall,pet 2 rolling,y = 0.39x + -290882.68
2017,fall,pet 1 rolling,y = 0.20x + -148657.67
2017,spring,pet 4 rolling,y = -0.65x + 478549.50
2017,spring,pet 2 rolling,y = -0.36x + 262679.40
2017,spring,pet 1 rolling,y = -0.17x + 125444.35
2017,summer,pet 4 rolling,y = -0.21x + 158059.18
2017,summer,pet 2 rolling,y = -0.06x + 43744.63
2017,summer,pet 1 rolling,y = -0.01x + 8779.69
